INSERT INTO PRODUZIONE (MINUTAGGIO, COD_REGISTA) VALUES
(116, 678),
(103, 401),
(96, 304),
(123, 396),
(146, 175),
(88, 1015),
(88, 446),
(63, 840),
(90, 894),
(105, 694),
(147, 818),
(116, 205),
(79, 844),
(88, 69),
(89, 649),
(93, 391),
(150, 465),
(143, 440),
(137, 459),
(145, 923),
(89, 56),
(149, 797),
(84, 746),
(120, 401),
(86, 718),
(115, 750),
(104, 442),
(116, 571),
(122, 996),
(110, 770),
(123, 302),
(74, 156),
(132, 158),
(133, 20),
(76, 367),
(62, 386),
(100, 852),
(119, 304),
(107, 451),
(139, 15),
(123, 280),
(75, 904),
(117, 879),
(89, 24),
(68, 156),
(149, 205),
(134, 199),
(147, 224),
(93, 1030),
(96, 77),
(113, 11),
(131, 779),
(91, 820),
(150, 519),
(100, 563),
(94, 719),
(121, 829),
(128, 305),
(108, 633),
(99, 1006),
(82, 890),
(87, 635),
(130, 287),
(119, 574),
(67, 81),
(149, 449),
(70, 482),
(101, 644),
(83, 1011),
(87, 103),
(77, 1026),
(68, 340),
(60, 435),
(73, 310),
(103, 744),
(147, 624),
(76, 315),
(126, 382),
(80, 87),
(60, 168),
(133, 753),
(79, 431),
(98, 284),
(71, 683),
(67, 667),
(72, 253),
(91, 246),
(96, 22),
(128, 737),
(141, 915),
(61, 788),
(89, 894),
(79, 561),
(77, 196),
(74, 773),
(103, 574),
(146, 605),
(83, 430),
(137, 245),
(104, 861),
(69, 668),
(80, 338),
(96, 635),
(62, 921),
(145, 711),
(137, 481),
(108, 635),
(96, 997),
(100, 470),
(132, 964),
(90, 748),
(106, 681),
(120, 342),
(106, 299),
(129, 657),
(97, 116),
(67, 435),
(79, 361),
(114, 7),
(104, 209),
(80, 1004),
(73, 639),
(69, 709),
(81, 822),
(111, 321),
(92, 699),
(67, 786),
(83, 780),
(80, 346),
(90, 501),
(62, 563),
(108, 539),
(61, 389),
(97, 359),
(78, 841),
(83, 249),
(108, 986),
(93, 408),
(86, 618),
(147, 644),
(140, 959),
(99, 405),
(149, 230),
(73, 919),
(142, 845),
(100, 166),
(141, 394),
(131, 224),
(109, 265),
(113, 499),
(60, 133),
(72, 757),
(73, 828),
(114, 630),
(146, 102),
(144, 204),
(149, 90),
(129, 312),
(115, 100),
(104, 880),
(81, 40),
(73, 840),
(73, 782),
(64, 295),
(66, 994),
(110, 735),
(105, 74),
(147, 673),
(83, 743),
(127, 1030),
(78, 37),
(79, 878),
(80, 663),
(128, 76),
(133, 15),
(126, 122),
(119, 604),
(85, 336),
(131, 952),
(82, 1007),
(132, 331),
(73, 856),
(115, 82),
(113, 925),
(132, 854),
(101, 566),
(105, 701),
(78, 616),
(93, 986),
(86, 101),
(66, 90),
(146, 501),
(113, 603),
(92, 188),
(81, 561),
(145, 394),
(95, 859),
(124, 43),
(92, 960),
(122, 760),
(120, 10),
(146, 456),
(121, 328),
(140, 578),
(88, 909),
(74, 950),
(141, 170),
(121, 225),
(106, 799),
(102, 972),
(79, 939),
(108, 506),
(121, 1013),
(99, 971),
(142, 375),
(81, 22),
(103, 40),
(93, 319),
(98, 440),
(62, 986),
(79, 477),
(61, 133),
(111, 274),
(107, 110),
(149, 368),
(90, 423),
(115, 512),
(89, 939),
(100, 880),
(149, 750),
(67, 259),
(65, 457),
(117, 479),
(73, 78),
(66, 524),
(139, 212),
(81, 549),
(61, 679),
(63, 980),
(95, 149),
(90, 540),
(65, 781),
(108, 222),
(137, 310),
(62, 599),
(118, 380),
(110, 89),
(124, 954),
(119, 294),
(86, 488),
(83, 785),
(89, 347),
(145, 455),
(89, 660),
(129, 825),
(149, 11),
(81, 23),
(111, 684),
(112, 687),
(145, 729),
(121, 993),
(90, 430),
(138, 938),
(127, 932),
(129, 502),
(146, 738),
(104, 975),
(136, 809),
(80, 898),
(82, 912),
(83, 471),
(136, 267),
(120, 397),
(92, 769),
(80, 667),
(76, 393),
(129, 468),
(87, 936),
(133, 482),
(100, 49),
(100, 694),
(115, 599),
(116, 559),
(74, 783),
(91, 381),
(127, 729),
(76, 651),
(144, 351),
(99, 158),
(68, 996),
(136, 740),
(75, 464),
(71, 1000),
(112, 305),
(129, 23),
(119, 311),
(135, 554),
(88, 560),
(71, 991),
(68, 503),
(93, 309),
(146, 836),
(72, 458),
(138, 590),
(102, 870),
(80, 496),
(114, 320),
(133, 923),
(85, 441),
(135, 682),
(141, 571),
(140, 627),
(144, 125),
(67, 827),
(61, 187),
(88, 623),
(96, 448),
(82, 953),
(133, 818),
(79, 223),
(89, 458),
(119, 505),
(129, 145),
(139, 921),
(100, 228),
(98, 919),
(60, 954),
(124, 92),
(79, 98),
(78, 413),
(72, 250),
(69, 319),
(81, 523),
(76, 823),
(61, 860),
(84, 826),
(113, 228),
(144, 920),
(146, 226),
(139, 285),
(75, 681),
(105, 421),
(69, 950),
(127, 54),
(105, 357),
(120, 545),
(103, 56),
(87, 143),
(74, 214),
(144, 109),
(69, 993),
(86, 115),
(111, 399),
(94, 133),
(137, 951),
(65, 793),
(81, 759),
(80, 718),
(128, 449),
(85, 55),
(115, 662),
(136, 648),
(122, 522),
(122, 24),
(109, 495),
(68, 138),
(74, 601),
(82, 23),
(65, 379),
(139, 392),
(141, 678),
(65, 164),
(75, 978),
(116, 120),
(127, 697),
(103, 945),
(68, 120),
(141, 842),
(141, 579),
(121, 967),
(77, 41),
(122, 842),
(75, 1022),
(74, 991),
(115, 817),
(141, 1004),
(73, 741),
(77, 800),
(83, 370),
(123, 381),
(102, 558),
(76, 923),
(101, 99),
(62, 83),
(142, 344),
(114, 983),
(82, 182),
(128, 58),
(74, 221),
(118, 432),
(60, 157),
(125, 164),
(72, 263),
(100, 67),
(61, 855),
(64, 1002),
(144, 785),
(147, 731),
(105, 752),
(69, 397),
(107, 219),
(121, 680),
(100, 234),
(71, 9),
(67, 990),
(109, 754),
(94, 176),
(117, 526),
(60, 865),
(65, 519),
(82, 23),
(147, 151),
(65, 288),
(122, 452),
(117, 516),
(81, 108),
(106, 273),
(69, 357),
(140, 756),
(79, 689),
(138, 989),
(71, 785),
(82, 43),
(146, 675),
(78, 842),
(76, 241),
(61, 167),
(78, 165),
(136, 157),
(82, 163),
(143, 563),
(74, 488),
(111, 758),
(149, 259),
(131, 744),
(143, 536),
(127, 833),
(69, 742),
(118, 270),
(129, 28),
(106, 230),
(98, 697),
(127, 799),
(127, 42),
(120, 674),
(78, 354),
(129, 897),
(78, 432),
(138, 675),
(148, 735),
(100, 770),
(105, 334),
(148, 773),
(72, 589),
(121, 171),
(143, 590),
(61, 555),
(135, 43),
(99, 837),
(124, 96),
(119, 1003),
(67, 560),
(73, 131),
(121, 1023),
(127, 617),
(68, 49),
(88, 976),
(94, 552),
(146, 658),
(73, 354),
(137, 1030),
(136, 429),
(101, 552),
(89, 699),
(130, 638),
(99, 651),
(101, 861),
(107, 826),
(79, 878),
(89, 830),
(143, 325),
(107, 675),
(144, 72),
(140, 693),
(145, 833),
(149, 878),
(149, 640),
(108, 987),
(99, 84),
(130, 460),
(75, 604),
(129, 843),
(117, 1015),
(79, 786),
(99, 96),
(100, 1029),
(105, 985),
(129, 797),
(73, 237),
(91, 250),
(144, 996),
(93, 115),
(125, 479),
(83, 62),
(85, 724),
(125, 244),
(134, 916),
(124, 359),
(107, 492),
(142, 62),
(90, 7),
(136, 321),
(138, 807),
(81, 296),
(101, 273),
(91, 627),
(73, 27),
(65, 540),
(110, 95),
(117, 899),
(139, 43),
(80, 652),
(75, 109),
(94, 197),
(145, 12),
(63, 251),
(137, 216),
(75, 459),
(73, 153),
(73, 388),
(138, 601),
(84, 213),
(117, 557),
(113, 455),
(92, 346),
(140, 440),
(142, 499),
(105, 984),
(88, 248),
(116, 398),
(87, 87),
(87, 803),
(62, 288),
(126, 867),
(119, 647),
(105, 303),
(64, 669),
(145, 831),
(110, 614),
(62, 538),
(129, 303),
(135, 284),
(96, 553),
(95, 39),
(67, 409),
(80, 695),
(66, 505),
(145, 175),
(66, 451),
(88, 254),
(133, 348),
(104, 310),
(85, 490),
(124, 646),
(84, 940),
(62, 853),
(135, 989),
(93, 1013),
(61, 567),
(77, 666),
(126, 561),
(70, 250),
(63, 263),
(69, 895),
(80, 164),
(81, 663),
(92, 207),
(61, 811),
(124, 368),
(87, 220),
(130, 237),
(78, 79),
(123, 355),
(96, 137),
(106, 595),
(71, 38),
(86, 244),
(124, 1004),
(132, 753),
(91, 475),
(127, 397),
(115, 914),
(108, 983),
(76, 583),
(91, 821),
(62, 292),
(69, 380),
(105, 154),
(109, 716),
(86, 649),
(126, 456),
(134, 648),
(90, 883),
(148, 47),
(130, 787),
(136, 676),
(64, 919),
(80, 226),
(98, 611),
(88, 251),
(81, 616),
(150, 553),
(61, 12),
(132, 899),
(100, 808),
(120, 747),
(69, 836),
(60, 170),
(118, 759),
(129, 332),
(98, 140),
(111, 1027),
(95, 708),
(91, 815),
(121, 239),
(83, 139),
(129, 1021),
(113, 103),
(79, 1009),
(107, 566),
(87, 162),
(110, 862),
(117, 342),
(146, 410),
(111, 652),
(123, 1015),
(65, 775),
(93, 356),
(149, 931),
(79, 858),
(74, 1002),
(86, 297),
(64, 549),
(91, 17),
(86, 615),
(99, 205),
(88, 1),
(100, 380),
(111, 904),
(126, 432),
(83, 234),
(113, 325),
(81, 891),
(143, 733),
(99, 432),
(123, 72),
(92, 770),
(100, 314),
(146, 891),
(102, 732),
(83, 9),
(85, 690),
(88, 846),
(112, 795),
(91, 509),
(133, 838),
(81, 147),
(131, 413),
(80, 729),
(87, 855),
(123, 477),
(127, 882),
(96, 396),
(68, 289),
(100, 49),
(74, 175),
(111, 546),
(85, 389),
(86, 831),
(128, 933),
(145, 552),
(131, 538),
(90, 95),
(138, 428),
(142, 184),
(63, 752),
(79, 76),
(102, 52),
(86, 644),
(135, 800),
(101, 907),
(114, 697),
(60, 292),
(91, 599),
(102, 113),
(81, 419),
(115, 388),
(144, 295),
(94, 328),
(104, 112),
(89, 891),
(67, 930),
(130, 367),
(63, 850),
(93, 331),
(61, 195),
(70, 88),
(90, 821),
(148, 604),
(61, 210),
(139, 832),
(69, 987),
(136, 400),
(149, 66),
(84, 597),
(117, 595),
(66, 729),
(93, 732),
(123, 253),
(99, 46),
(130, 731),
(123, 187),
(81, 702),
(62, 746),
(133, 565),
(110, 697),
(84, 470),
(136, 116),
(148, 680),
(93, 763),
(106, 946),
(110, 1029),
(71, 696),
(146, 504),
(96, 942),
(100, 33),
(72, 379),
(67, 442),
(74, 725),
(87, 607),
(102, 958),
(145, 319),
(81, 250),
(92, 759),
(83, 981),
(120, 836),
(124, 169),
(60, 575),
(79, 221),
(137, 630),
(90, 116),
(96, 947),
(117, 635),
(101, 351),
(145, 61),
(87, 845),
(129, 319),
(96, 510),
(76, 654),
(120, 775),
(115, 294),
(91, 544),
(78, 78),
(133, 949),
(145, 1026),
(74, 802),
(84, 84),
(145, 527),
(114, 589),
(136, 1007),
(134, 763),
(69, 206),
(141, 973),
(119, 508),
(105, 935),
(125, 684),
(98, 116),
(111, 924),
(99, 354),
(139, 949),
(84, 914),
(116, 505),
(115, 3),
(125, 82),
(123, 374),
(143, 436),
(143, 231),
(127, 281),
(97, 967),
(109, 751),
(86, 138),
(148, 637),
(122, 674),
(70, 472),
(69, 554),
(123, 125),
(140, 703),
(149, 177),
(82, 205),
(76, 865),
(82, 132),
(62, 547),
(102, 565),
(127, 725),
(138, 709),
(95, 63),
(70, 501),
(121, 985),
(93, 285),
(101, 282),
(119, 998),
(72, 646),
(121, 689),
(139, 239),
(90, 646),
(74, 34),
(122, 88),
(60, 337),
(134, 280),
(68, 470),
(83, 190),
(102, 809),
(98, 204),
(143, 234),
(63, 78),
(60, 618),
(135, 785),
(64, 285),
(68, 472),
(130, 201),
(112, 283),
(89, 905),
(73, 1011),
(98, 842),
(149, 44),
(68, 13),
(85, 741),
(70, 33),
(108, 9),
(105, 547),
(120, 273),
(80, 284),
(94, 322),
(116, 500),
(122, 50),
(143, 746),
(81, 738),
(96, 909),
(72, 86),
(126, 788),
(108, 656),
(105, 99),
(71, 872),
(129, 669),
(136, 711),
(149, 350),
(68, 36),
(134, 854),
(124, 743),
(97, 928),
(129, 210),
(120, 16),
(77, 2),
(146, 542),
(67, 822),
(117, 863),
(116, 762),
(129, 385),
(135, 217),
(130, 770),
(85, 542),
(68, 319),
(89, 160),
(94, 191),
(109, 948),
(135, 364),
(92, 248),
(131, 493),
(130, 263),
(135, 839),
(143, 488),
(150, 975),
(64, 114),
(92, 805),
(119, 696),
(104, 472),
(94, 561),
(139, 602),
(115, 95),
(117, 239),
(113, 807),
(85, 948),
(111, 60),
(134, 486),
(72, 858),
(121, 910),
(122, 697),
(60, 315),
(95, 248),
(77, 32),
(80, 362),
(90, 546),
(69, 953),
(144, 746),
(142, 58),
(86, 713),
(61, 457),
(120, 963),
(92, 925),
(78, 194),
(137, 913),
(145, 414),
(101, 354),
(124, 952),
(96, 684),
(109, 530),
(112, 672),
(128, 98),
(82, 936),
(75, 320),
(114, 31),
(74, 102),
(147, 931),
(114, 50),
(149, 831),
(137, 718),
(62, 388),
(110, 292),
(87, 807),
(138, 123),
(103, 937),
(92, 847),
(136, 972),
(98, 746),
(105, 22),
(131, 818),
(130, 100),
(145, 947),
(93, 562),
(73, 761),
(90, 340),
(137, 1017),
(107, 907),
(92, 368),
(142, 188),
(128, 497),
(79, 935),
(135, 835),
(131, 250),
(120, 785),
(125, 78),
(140, 711),
(91, 850),
(138, 519),
(131, 565),
(97, 259),
(103, 208),
(141, 824),
(75, 406),
(111, 267),
(79, 899),
(69, 937),
(117, 890),
(139, 107),
(92, 775),
(124, 346),
(83, 263),
(102, 644),
(69, 548),
(129, 315),
(87, 640),
(84, 197),
(80, 322),
(148, 595),
(120, 538),
(83, 408),
(60, 211),
(146, 490),
(142, 900),
(140, 934),
(78, 152),
(115, 78),
(109, 587),
(134, 594),
(149, 160),
(110, 687),
(88, 379),
(149, 138),
(140, 903),
(73, 300),
(124, 120),
(71, 776),
(137, 763),
(131, 952),
(93, 509),
(97, 519),
(103, 1006),
(126, 47),
(74, 399),
(144, 472),
(90, 948),
(117, 3),
(105, 69),
(144, 978),
(76, 413),
(77, 562),
(114, 228),
(135, 892),
(79, 291),
(128, 656),
(71, 71),
(120, 255),
(121, 58),
(84, 59),
(144, 432),
(137, 811),
(83, 13),
(96, 618),
(83, 164),
(76, 818),
(106, 198),
(88, 967),
(137, 163),
(85, 699),
(74, 93),
(109, 298),
(146, 690),
(79, 326),
(90, 186),
(111, 55),
(67, 892),
(134, 611),
(76, 942),
(146, 258),
(102, 204),
(126, 770),
(138, 569),
(124, 316),
(102, 56),
(96, 4),
(74, 514),
(98, 70),
(84, 912),
(70, 497),
(100, 345),
(99, 781),
(127, 719),
(142, 1005),
(121, 105),
(111, 58),
(125, 502),
(150, 320),
(84, 158),
(137, 237),
(101, 665),
(133, 936),
(103, 930),
(142, 360),
(73, 43),
(104, 548),
(93, 353),
(67, 800),
(93, 432),
(137, 296),
(148, 863),
(143, 151),
(60, 502),
(61, 841),
(141, 884),
(118, 331),
(60, 356),
(79, 122),
(111, 970),
(117, 997),
(100, 797),
(134, 179),
(101, 367),
(114, 949),
(134, 46),
(146, 557),
(119, 497),
(63, 640),
(140, 199),
(119, 452),
(104, 690),
(90, 205),
(140, 126),
(72, 395),
(148, 979),
(137, 457),
(109, 1024),
(111, 899),
(143, 6),
(132, 324),
(103, 438),
(96, 780),
(87, 248),
(90, 313),
(75, 531),
(97, 273),
(144, 687),
(82, 254),
(60, 345),
(103, 347),
(104, 74),
(143, 734),
(116, 499),
(109, 989),
(76, 487),
(114, 362),
(132, 630),
(113, 397),
(98, 815),
(142, 438),
(139, 665),
(114, 788),
(137, 166),
(96, 253),
