INSERT INTO ISCRIZIONE (COD_PROD, DATA_PROIEZIONE, ORA, COD_SPETTATORE) VALUES
(81, '2024-09-04', '12:46', 9002),
(82, '2024-09-08', '17:23', 9002),
(83, '2024-09-03', '17:24', 9002),
(84, '2024-09-05', '05:32', 9002),
(85, '2024-09-01', '16:50', 9002),
(86, '2024-09-01', '21:27', 9002),
(87, '2024-09-08', '23:47', 9002),
(88, '2024-09-02', '18:59', 9002),
(89, '2024-09-04', '05:51', 9002),
(90, '2024-09-08', '02:16', 9002),
(91, '2024-09-06', '21:43', 9002),
(92, '2024-09-09', '07:44', 9002),
(93, '2024-09-01', '13:27', 9002),
(94, '2024-09-09', '06:22', 9002),
(95, '2024-09-05', '08:02', 9002),
(96, '2024-09-10', '01:47', 9002),
(97, '2024-09-07', '00:20', 9002),
(98, '2024-09-01', '17:23', 9002),
(99, '2024-09-06', '23:05', 9002),
(100, '2024-09-10', '12:51', 9002),
(1, '2024-09-08', '01:21', 9003),
(2, '2024-09-04', '18:24', 9003),
(3, '2024-09-01', '15:12', 9003),
(4, '2024-09-08', '03:30', 9003),
(5, '2024-09-10', '00:49', 9003),
(6, '2024-09-10', '16:31', 9003),
(7, '2024-09-04', '06:41', 9003),
(8, '2024-09-08', '02:53', 9003),
(9, '2024-09-05', '18:43', 9003),
(10, '2024-09-01', '15:29', 9003),
(11, '2024-09-05', '01:50', 9003),
(12, '2024-09-10', '04:24', 9003),
(13, '2024-09-06', '14:46', 9003),
(14, '2024-09-07', '22:26', 9003),
(15, '2024-09-01', '17:49', 9003),
(16, '2024-09-02', '10:26', 9003),
(17, '2024-09-05', '11:48', 9003),
(18, '2024-09-04', '05:54', 9003),
(19, '2024-09-06', '05:53', 9003),
(20, '2024-09-09', '20:23', 9003),
(21, '2024-09-01', '03:52', 9003),
(22, '2024-09-06', '05:22', 9003),
(23, '2024-09-01', '02:52', 9003),
(24, '2024-09-09', '21:23', 9003),
(25, '2024-09-01', '12:35', 9003),
(26, '2024-09-09', '18:09', 9003),
(27, '2024-09-07', '14:52', 9003),
(28, '2024-09-02', '07:07', 9003),
(29, '2024-09-09', '08:27', 9003),
(30, '2024-09-06', '12:34', 9003),
(31, '2024-09-08', '10:54', 9003),
(32, '2024-09-03', '09:23', 9003),
(33, '2024-09-09', '05:23', 9003),
(34, '2024-09-08', '09:55', 9003),
(35, '2024-09-07', '04:44', 9003),
(36, '2024-09-01', '00:53', 9003),
(37, '2024-09-06', '13:37', 9003),
(38, '2024-09-02', '08:57', 9003),
(39, '2024-09-08', '07:23', 9003),
(40, '2024-09-06', '23:36', 9003),
(41, '2024-09-10', '23:44', 9003),
(42, '2024-09-05', '13:36', 9003),
(43, '2024-09-04', '04:20', 9003),
(44, '2024-09-02', '02:44', 9003),
(45, '2024-09-05', '01:15', 9003),
(46, '2024-09-04', '20:23', 9003),
(47, '2024-09-10', '13:04', 9003),
(48, '2024-09-05', '21:12', 9003),
(49, '2024-09-01', '22:04', 9003),
(50, '2024-09-07', '12:45', 9003),
(51, '2024-09-04', '15:15', 9003),
(52, '2024-09-08', '20:43', 9003),
(53, '2024-09-05', '09:34', 9003),
(54, '2024-09-02', '16:17', 9003),
(55, '2024-09-03', '06:36', 9003),
(56, '2024-09-05', '08:46', 9003),
(57, '2024-09-04', '16:52', 9003),
(58, '2024-09-06', '12:14', 9003),
(59, '2024-09-07', '08:01', 9003),
(60, '2024-09-01', '19:34', 9003),
(61, '2024-09-06', '11:28', 9003),
(62, '2024-09-07', '07:01', 9003),
(63, '2024-09-06', '17:49', 9003),
(64, '2024-09-07', '17:59', 9003),
(65, '2024-09-06', '05:49', 9003),
(66, '2024-09-06', '09:34', 9003),
(67, '2024-09-06', '13:29', 9003),
(68, '2024-09-09', '02:38', 9003),
(69, '2024-09-02', '18:17', 9003),
(70, '2024-09-07', '02:31', 9003),
(71, '2024-09-07', '13:27', 9003),
(72, '2024-09-07', '06:04', 9003),
(73, '2024-09-01', '11:13', 9003),
(74, '2024-09-07', '10:18', 9003),
(75, '2024-09-08', '08:42', 9003),
(76, '2024-09-10', '18:36', 9003),
(77, '2024-09-07', '11:12', 9003),
(78, '2024-09-06', '06:23', 9003),
(79, '2024-09-05', '01:15', 9003),
(80, '2024-09-03', '10:53', 9003),
(81, '2024-09-04', '12:46', 9003),
(82, '2024-09-08', '17:23', 9003),
(83, '2024-09-03', '17:24', 9003),
(84, '2024-09-05', '05:32', 9003),
(85, '2024-09-01', '16:50', 9003),
(86, '2024-09-01', '21:27', 9003),
(87, '2024-09-08', '23:47', 9003),
(88, '2024-09-02', '18:59', 9003),
(89, '2024-09-04', '05:51', 9003),
(90, '2024-09-08', '02:16', 9003),
(91, '2024-09-06', '21:43', 9003),
(92, '2024-09-09', '07:44', 9003),
(93, '2024-09-01', '13:27', 9003),
(94, '2024-09-09', '06:22', 9003),
(95, '2024-09-05', '08:02', 9003),
(96, '2024-09-10', '01:47', 9003),
(97, '2024-09-07', '00:20', 9003),
(98, '2024-09-01', '17:23', 9003),
(99, '2024-09-06', '23:05', 9003),
(100, '2024-09-10', '12:51', 9003),
(1, '2024-09-08', '01:21', 9004),
(2, '2024-09-04', '18:24', 9004),
(3, '2024-09-01', '15:12', 9004),
(4, '2024-09-08', '03:30', 9004),
(5, '2024-09-10', '00:49', 9004),
(6, '2024-09-10', '16:31', 9004),
(7, '2024-09-04', '06:41', 9004),
(8, '2024-09-08', '02:53', 9004),
(9, '2024-09-05', '18:43', 9004),
(10, '2024-09-01', '15:29', 9004),
(11, '2024-09-05', '01:50', 9004),
(12, '2024-09-10', '04:24', 9004),
(13, '2024-09-06', '14:46', 9004),
(14, '2024-09-07', '22:26', 9004),
(15, '2024-09-01', '17:49', 9004),
(16, '2024-09-02', '10:26', 9004),
(17, '2024-09-05', '11:48', 9004),
(18, '2024-09-04', '05:54', 9004),
(19, '2024-09-06', '05:53', 9004),
(20, '2024-09-09', '20:23', 9004),
(21, '2024-09-01', '03:52', 9004),
(22, '2024-09-06', '05:22', 9004),
(23, '2024-09-01', '02:52', 9004),
(24, '2024-09-09', '21:23', 9004),
(25, '2024-09-01', '12:35', 9004),
(26, '2024-09-09', '18:09', 9004),
(27, '2024-09-07', '14:52', 9004),
(28, '2024-09-02', '07:07', 9004),
(29, '2024-09-09', '08:27', 9004),
(30, '2024-09-06', '12:34', 9004),
(31, '2024-09-08', '10:54', 9004),
(32, '2024-09-03', '09:23', 9004),
(33, '2024-09-09', '05:23', 9004),
(34, '2024-09-08', '09:55', 9004),
(35, '2024-09-07', '04:44', 9004),
(36, '2024-09-01', '00:53', 9004),
(37, '2024-09-06', '13:37', 9004),
(38, '2024-09-02', '08:57', 9004),
(39, '2024-09-08', '07:23', 9004),
(40, '2024-09-06', '23:36', 9004),
(41, '2024-09-10', '23:44', 9004),
(42, '2024-09-05', '13:36', 9004),
(43, '2024-09-04', '04:20', 9004),
(44, '2024-09-02', '02:44', 9004),
(45, '2024-09-05', '01:15', 9004),
(46, '2024-09-04', '20:23', 9004),
(47, '2024-09-10', '13:04', 9004),
(48, '2024-09-05', '21:12', 9004),
(49, '2024-09-01', '22:04', 9004),
(50, '2024-09-07', '12:45', 9004),
(51, '2024-09-04', '15:15', 9004),
(52, '2024-09-08', '20:43', 9004),
(53, '2024-09-05', '09:34', 9004),
(54, '2024-09-02', '16:17', 9004),
(55, '2024-09-03', '06:36', 9004),
(56, '2024-09-05', '08:46', 9004),
(57, '2024-09-04', '16:52', 9004),
(58, '2024-09-06', '12:14', 9004),
(59, '2024-09-07', '08:01', 9004),
(60, '2024-09-01', '19:34', 9004),
(61, '2024-09-06', '11:28', 9004),
(62, '2024-09-07', '07:01', 9004),
(63, '2024-09-06', '17:49', 9004),
(64, '2024-09-07', '17:59', 9004),
(65, '2024-09-06', '05:49', 9004),
(66, '2024-09-06', '09:34', 9004),
(67, '2024-09-06', '13:29', 9004),
(68, '2024-09-09', '02:38', 9004),
(69, '2024-09-02', '18:17', 9004),
(70, '2024-09-07', '02:31', 9004),
(71, '2024-09-07', '13:27', 9004),
(72, '2024-09-07', '06:04', 9004),
(73, '2024-09-01', '11:13', 9004),
(74, '2024-09-07', '10:18', 9004),
(75, '2024-09-08', '08:42', 9004),
(76, '2024-09-10', '18:36', 9004),
(77, '2024-09-07', '11:12', 9004),
(78, '2024-09-06', '06:23', 9004),
(79, '2024-09-05', '01:15', 9004),
(80, '2024-09-03', '10:53', 9004),
(81, '2024-09-04', '12:46', 9004),
(82, '2024-09-08', '17:23', 9004),
(83, '2024-09-03', '17:24', 9004),
(84, '2024-09-05', '05:32', 9004),
(85, '2024-09-01', '16:50', 9004),
(86, '2024-09-01', '21:27', 9004),
(87, '2024-09-08', '23:47', 9004),
(88, '2024-09-02', '18:59', 9004),
(89, '2024-09-04', '05:51', 9004),
(90, '2024-09-08', '02:16', 9004),
(91, '2024-09-06', '21:43', 9004),
(92, '2024-09-09', '07:44', 9004),
(93, '2024-09-01', '13:27', 9004),
(94, '2024-09-09', '06:22', 9004),
(95, '2024-09-05', '08:02', 9004),
(96, '2024-09-10', '01:47', 9004),
(97, '2024-09-07', '00:20', 9004),
(98, '2024-09-01', '17:23', 9004),
(99, '2024-09-06', '23:05', 9004),
(100, '2024-09-10', '12:51', 9004),
(1, '2024-09-08', '01:21', 9005),
(2, '2024-09-04', '18:24', 9005),
(3, '2024-09-01', '15:12', 9005),
(4, '2024-09-08', '03:30', 9005),
(5, '2024-09-10', '00:49', 9005),
(6, '2024-09-10', '16:31', 9005),
(7, '2024-09-04', '06:41', 9005),
(8, '2024-09-08', '02:53', 9005),
(9, '2024-09-05', '18:43', 9005),
(10, '2024-09-01', '15:29', 9005),
(11, '2024-09-05', '01:50', 9005),
(12, '2024-09-10', '04:24', 9005),
(13, '2024-09-06', '14:46', 9005),
(14, '2024-09-07', '22:26', 9005),
(15, '2024-09-01', '17:49', 9005),
(16, '2024-09-02', '10:26', 9005),
(17, '2024-09-05', '11:48', 9005),
(18, '2024-09-04', '05:54', 9005),
(19, '2024-09-06', '05:53', 9005),
(20, '2024-09-09', '20:23', 9005),
(21, '2024-09-01', '03:52', 9005),
(22, '2024-09-06', '05:22', 9005),
(23, '2024-09-01', '02:52', 9005),
(24, '2024-09-09', '21:23', 9005),
(25, '2024-09-01', '12:35', 9005),
(26, '2024-09-09', '18:09', 9005),
(27, '2024-09-07', '14:52', 9005),
(28, '2024-09-02', '07:07', 9005),
(29, '2024-09-09', '08:27', 9005),
(30, '2024-09-06', '12:34', 9005),
(31, '2024-09-08', '10:54', 9005),
(32, '2024-09-03', '09:23', 9005),
(33, '2024-09-09', '05:23', 9005),
(34, '2024-09-08', '09:55', 9005),
(35, '2024-09-07', '04:44', 9005),
(36, '2024-09-01', '00:53', 9005),
(37, '2024-09-06', '13:37', 9005),
(38, '2024-09-02', '08:57', 9005),
(39, '2024-09-08', '07:23', 9005),
(40, '2024-09-06', '23:36', 9005),
(41, '2024-09-10', '23:44', 9005),
(42, '2024-09-05', '13:36', 9005),
(43, '2024-09-04', '04:20', 9005),
(44, '2024-09-02', '02:44', 9005),
(45, '2024-09-05', '01:15', 9005),
(46, '2024-09-04', '20:23', 9005),
(47, '2024-09-10', '13:04', 9005),
(48, '2024-09-05', '21:12', 9005),
(49, '2024-09-01', '22:04', 9005),
(50, '2024-09-07', '12:45', 9005),
(51, '2024-09-04', '15:15', 9005),
(52, '2024-09-08', '20:43', 9005),
(53, '2024-09-05', '09:34', 9005),
(54, '2024-09-02', '16:17', 9005),
(55, '2024-09-03', '06:36', 9005),
(56, '2024-09-05', '08:46', 9005),
(57, '2024-09-04', '16:52', 9005),
(58, '2024-09-06', '12:14', 9005),
(59, '2024-09-07', '08:01', 9005),
(60, '2024-09-01', '19:34', 9005),
(61, '2024-09-06', '11:28', 9005),
(62, '2024-09-07', '07:01', 9005),
(63, '2024-09-06', '17:49', 9005),
(64, '2024-09-07', '17:59', 9005),
(65, '2024-09-06', '05:49', 9005),
(66, '2024-09-06', '09:34', 9005),
(67, '2024-09-06', '13:29', 9005),
(68, '2024-09-09', '02:38', 9005),
(69, '2024-09-02', '18:17', 9005),
(70, '2024-09-07', '02:31', 9005),
(71, '2024-09-07', '13:27', 9005),
(72, '2024-09-07', '06:04', 9005),
(73, '2024-09-01', '11:13', 9005),
(74, '2024-09-07', '10:18', 9005),
(75, '2024-09-08', '08:42', 9005),
(76, '2024-09-10', '18:36', 9005),
(77, '2024-09-07', '11:12', 9005),
(78, '2024-09-06', '06:23', 9005),
(79, '2024-09-05', '01:15', 9005),
(80, '2024-09-03', '10:53', 9005),
(81, '2024-09-04', '12:46', 9005),
(82, '2024-09-08', '17:23', 9005),
(83, '2024-09-03', '17:24', 9005),
(84, '2024-09-05', '05:32', 9005),
(85, '2024-09-01', '16:50', 9005),
(86, '2024-09-01', '21:27', 9005),
(87, '2024-09-08', '23:47', 9005),
(88, '2024-09-02', '18:59', 9005),
(89, '2024-09-04', '05:51', 9005),
(90, '2024-09-08', '02:16', 9005),
(91, '2024-09-06', '21:43', 9005),
(92, '2024-09-09', '07:44', 9005),
(93, '2024-09-01', '13:27', 9005),
(94, '2024-09-09', '06:22', 9005),
(95, '2024-09-05', '08:02', 9005),
(96, '2024-09-10', '01:47', 9005),
(97, '2024-09-07', '00:20', 9005),
(98, '2024-09-01', '17:23', 9005),
(99, '2024-09-06', '23:05', 9005),
(100, '2024-09-10', '12:51', 9005),
(1, '2024-09-08', '01:21', 9006),
(2, '2024-09-04', '18:24', 9006),
(3, '2024-09-01', '15:12', 9006),
(4, '2024-09-08', '03:30', 9006),
(5, '2024-09-10', '00:49', 9006),
(6, '2024-09-10', '16:31', 9006),
(7, '2024-09-04', '06:41', 9006),
(8, '2024-09-08', '02:53', 9006),
(9, '2024-09-05', '18:43', 9006),
(10, '2024-09-01', '15:29', 9006),
(11, '2024-09-05', '01:50', 9006),
(12, '2024-09-10', '04:24', 9006),
(13, '2024-09-06', '14:46', 9006),
(14, '2024-09-07', '22:26', 9006),
(15, '2024-09-01', '17:49', 9006),
(16, '2024-09-02', '10:26', 9006),
(17, '2024-09-05', '11:48', 9006),
(18, '2024-09-04', '05:54', 9006),
(19, '2024-09-06', '05:53', 9006),
(20, '2024-09-09', '20:23', 9006),
(21, '2024-09-01', '03:52', 9006),
(22, '2024-09-06', '05:22', 9006),
(23, '2024-09-01', '02:52', 9006),
(24, '2024-09-09', '21:23', 9006),
(25, '2024-09-01', '12:35', 9006),
(26, '2024-09-09', '18:09', 9006),
(27, '2024-09-07', '14:52', 9006),
(28, '2024-09-02', '07:07', 9006),
(29, '2024-09-09', '08:27', 9006),
(30, '2024-09-06', '12:34', 9006),
(31, '2024-09-08', '10:54', 9006),
(32, '2024-09-03', '09:23', 9006),
(33, '2024-09-09', '05:23', 9006),
(34, '2024-09-08', '09:55', 9006),
(35, '2024-09-07', '04:44', 9006),
(36, '2024-09-01', '00:53', 9006),
(37, '2024-09-06', '13:37', 9006),
(38, '2024-09-02', '08:57', 9006),
(39, '2024-09-08', '07:23', 9006),
(40, '2024-09-06', '23:36', 9006),
(41, '2024-09-10', '23:44', 9006),
(42, '2024-09-05', '13:36', 9006),
(43, '2024-09-04', '04:20', 9006),
(44, '2024-09-02', '02:44', 9006),
(45, '2024-09-05', '01:15', 9006),
(46, '2024-09-04', '20:23', 9006),
(47, '2024-09-10', '13:04', 9006),
(48, '2024-09-05', '21:12', 9006),
(49, '2024-09-01', '22:04', 9006),
(50, '2024-09-07', '12:45', 9006),
(51, '2024-09-04', '15:15', 9006),
(52, '2024-09-08', '20:43', 9006),
(53, '2024-09-05', '09:34', 9006),
(54, '2024-09-02', '16:17', 9006),
(55, '2024-09-03', '06:36', 9006),
(56, '2024-09-05', '08:46', 9006),
(57, '2024-09-04', '16:52', 9006),
(58, '2024-09-06', '12:14', 9006),
(59, '2024-09-07', '08:01', 9006),
(60, '2024-09-01', '19:34', 9006),
(61, '2024-09-06', '11:28', 9006),
(62, '2024-09-07', '07:01', 9006),
(63, '2024-09-06', '17:49', 9006),
(64, '2024-09-07', '17:59', 9006),
(65, '2024-09-06', '05:49', 9006),
(66, '2024-09-06', '09:34', 9006),
(67, '2024-09-06', '13:29', 9006),
(68, '2024-09-09', '02:38', 9006),
(69, '2024-09-02', '18:17', 9006),
(70, '2024-09-07', '02:31', 9006),
(71, '2024-09-07', '13:27', 9006),
(72, '2024-09-07', '06:04', 9006),
(73, '2024-09-01', '11:13', 9006),
(74, '2024-09-07', '10:18', 9006),
(75, '2024-09-08', '08:42', 9006),
(76, '2024-09-10', '18:36', 9006),
(77, '2024-09-07', '11:12', 9006),
(78, '2024-09-06', '06:23', 9006),
(79, '2024-09-05', '01:15', 9006),
(80, '2024-09-03', '10:53', 9006),
(81, '2024-09-04', '12:46', 9006),
(82, '2024-09-08', '17:23', 9006),
(83, '2024-09-03', '17:24', 9006),
(84, '2024-09-05', '05:32', 9006),
(85, '2024-09-01', '16:50', 9006),
(86, '2024-09-01', '21:27', 9006),
(87, '2024-09-08', '23:47', 9006),
(88, '2024-09-02', '18:59', 9006),
(89, '2024-09-04', '05:51', 9006),
(90, '2024-09-08', '02:16', 9006),
(91, '2024-09-06', '21:43', 9006),
(92, '2024-09-09', '07:44', 9006),
(93, '2024-09-01', '13:27', 9006),
(94, '2024-09-09', '06:22', 9006),
(95, '2024-09-05', '08:02', 9006),
(96, '2024-09-10', '01:47', 9006),
(97, '2024-09-07', '00:20', 9006),
(98, '2024-09-01', '17:23', 9006),
(99, '2024-09-06', '23:05', 9006),
(100, '2024-09-10', '12:51', 9006),
(1, '2024-09-08', '01:21', 9007),
(2, '2024-09-04', '18:24', 9007),
(3, '2024-09-01', '15:12', 9007),
(4, '2024-09-08', '03:30', 9007),
(5, '2024-09-10', '00:49', 9007),
(6, '2024-09-10', '16:31', 9007),
(7, '2024-09-04', '06:41', 9007),
(8, '2024-09-08', '02:53', 9007),
(9, '2024-09-05', '18:43', 9007),
(10, '2024-09-01', '15:29', 9007),
(11, '2024-09-05', '01:50', 9007),
(12, '2024-09-10', '04:24', 9007),
(13, '2024-09-06', '14:46', 9007),
(14, '2024-09-07', '22:26', 9007),
(15, '2024-09-01', '17:49', 9007),
(16, '2024-09-02', '10:26', 9007),
(17, '2024-09-05', '11:48', 9007),
(18, '2024-09-04', '05:54', 9007),
(19, '2024-09-06', '05:53', 9007),
(20, '2024-09-09', '20:23', 9007),
(21, '2024-09-01', '03:52', 9007),
(22, '2024-09-06', '05:22', 9007),
(23, '2024-09-01', '02:52', 9007),
(24, '2024-09-09', '21:23', 9007),
(25, '2024-09-01', '12:35', 9007),
(26, '2024-09-09', '18:09', 9007),
(27, '2024-09-07', '14:52', 9007),
(28, '2024-09-02', '07:07', 9007),
(29, '2024-09-09', '08:27', 9007),
(30, '2024-09-06', '12:34', 9007),
(31, '2024-09-08', '10:54', 9007),
(32, '2024-09-03', '09:23', 9007),
(33, '2024-09-09', '05:23', 9007),
(34, '2024-09-08', '09:55', 9007),
(35, '2024-09-07', '04:44', 9007),
(36, '2024-09-01', '00:53', 9007),
(37, '2024-09-06', '13:37', 9007),
(38, '2024-09-02', '08:57', 9007),
(39, '2024-09-08', '07:23', 9007),
(40, '2024-09-06', '23:36', 9007),
(41, '2024-09-10', '23:44', 9007),
(42, '2024-09-05', '13:36', 9007),
(43, '2024-09-04', '04:20', 9007),
(44, '2024-09-02', '02:44', 9007),
(45, '2024-09-05', '01:15', 9007),
(46, '2024-09-04', '20:23', 9007),
(47, '2024-09-10', '13:04', 9007),
(48, '2024-09-05', '21:12', 9007),
(49, '2024-09-01', '22:04', 9007),
(50, '2024-09-07', '12:45', 9007),
(51, '2024-09-04', '15:15', 9007),
(52, '2024-09-08', '20:43', 9007),
(53, '2024-09-05', '09:34', 9007),
(54, '2024-09-02', '16:17', 9007),
(55, '2024-09-03', '06:36', 9007),
(56, '2024-09-05', '08:46', 9007),
(57, '2024-09-04', '16:52', 9007),
(58, '2024-09-06', '12:14', 9007),
(59, '2024-09-07', '08:01', 9007),
(60, '2024-09-01', '19:34', 9007),
(61, '2024-09-06', '11:28', 9007),
