INSERT INTO VOTA_SPETTATORE (ANNATA_OE, COD_SPETTATORE, COD_OPERA) VALUES
(2024, 5156,  3002),
(2024, 5157,  13794),
(2024, 5158,  19994),
(2024, 5159,  3986),
(2024, 5160,  25200),
(2024, 5161,  1083),
(2024, 5162,  1756),
(2024, 5163,  20669),
(2024, 5164,  1255),
(2024, 5165,  21205),
(2024, 5166,  7552),
(2024, 5167,  402),
(2024, 5168,  28351),
(2024, 5169,  772),
(2024, 5170,  14426),
(2024, 5171,  964),
(2024, 5172,  16931),
(2024, 5173,  1514),
(2024, 5174,  2859),
(2024, 5175,  14516),
(2024, 5176,  16441),
(2024, 5177,  772),
(2024, 5178,  15137),
(2024, 5179,  3104),
(2024, 5180,  13794),
(2024, 5181,  2633),
(2024, 5182,  471),
(2024, 5183,  1977),
(2024, 5184,  688),
(2024, 5185,  2260),
(2024, 5186,  2806),
(2024, 5187,  15921),
(2024, 5188,  20669),
(2024, 5189,  3986),
(2024, 5190,  1715),
(2024, 5191,  25649),
(2024, 5192,  5209),
(2024, 5193,  2281),
(2024, 5194,  3002),
(2024, 5195,  1141),
(2024, 5196,  23395),
(2024, 5197,  16235),
(2024, 5198,  12945),
(2024, 5199,  593),
(2024, 5200,  2382),
(2024, 5201,  15710),
(2024, 5202,  4793),
(2024, 5203,  16410),
(2024, 5204,  16926),
(2024, 5205,  12165),
(2024, 5206,  1709),
(2024, 5207,  778),
(2024, 5208,  26812),
(2024, 5209,  21307),
(2024, 5210,  362),
(2024, 5211,  27430),
(2024, 5212,  7457),
(2024, 5213,  3150),
(2024, 5214,  1977),
(2024, 5215,  240),
(2024, 5216,  2269),
(2024, 5217,  3222),
(2024, 5218,  2232),
(2024, 5219,  18543),
(2024, 5220,  492),
(2024, 5221,  18152),
(2024, 5222,  14836),
(2024, 5223,  26024),
(2024, 5224,  19781),
(2024, 5225,  27673),
(2024, 5226,  6381),
(2024, 5227,  15710),
(2024, 5228,  16441),
(2024, 5229,  8669),
(2024, 5230,  9619),
(2024, 5231,  3029),
(2024, 5232,  1654),
(2024, 5233,  2971),
(2024, 5234,  1580),
(2024, 5235,  1053),
(2024, 5236,  1840),
(2024, 5237,  9174),
(2024, 5238,  2859),
(2024, 5239,  13856),
(2024, 5240,  1247),
(2024, 5241,  27626),
(2024, 5242,  23395),
(2024, 5243,  1964),
(2024, 5244,  21225),
(2024, 5245,  16991),
(2024, 5246,  2881),
(2024, 5247,  3292),
(2024, 5248,  676),
(2024, 5249,  1548),
(2024, 5250,  1457),
(2024, 5251,  842),
(2024, 5252,  14836),
(2024, 5253,  1925),
(2024, 5254,  874),
(2024, 5255,  18160),
(2024, 5256,  27707),
(2024, 5257,  537),
(2024, 5258,  2326),
(2024, 5259,  562),
(2024, 5260,  3222),
(2024, 5261,  1715),
(2024, 5262,  7457),
(2024, 5263,  7457),
(2024, 5264,  5245),
(2024, 5265,  22966),
(2024, 5266,  9186),
(2024, 5267,  2755),
(2024, 5268,  1605),
(2024, 5269,  1654),
(2024, 5270,  1151),
(2024, 5271,  1703),
(2024, 5272,  6380),
(2024, 5273,  842),
(2024, 5274,  1247),
(2024, 5275,  25200),
(2024, 5276,  1222),
(2024, 5277,  335),
(2024, 5278,  2769),
(2024, 5279,  21522),
(2024, 5280,  15483),
(2024, 5281,  17808),
(2024, 5282,  3326),
(2024, 5283,  2212),
(2024, 5284,  1611),
(2024, 5285,  2921),
(2024, 5286,  27892),
(2024, 5287,  2968),
(2024, 5288,  16441),
(2024, 5289,  1859),
(2024, 5290,  9411),
(2024, 5291,  5646),
(2024, 5292,  10386),
(2024, 5293,  2769),
(2024, 5294,  960),
(2024, 5295,  1466),
(2024, 5296,  16900),
(2024, 5297,  14516),
(2024, 5298,  17644),
(2024, 5299,  6333),
(2024, 5300,  7552),
(2024, 5301,  175),
(2024, 5302,  5070),
(2024, 5303,  12075),
(2024, 5304,  20429),
(2024, 5305,  14426),
(2024, 5306,  8535),
(2024, 5307,  12237),
(2024, 5308,  914),
(2024, 5309,  2302),
(2024, 5310,  22966),
(2024, 5311,  3222),
(2024, 5312,  4980),
(2024, 5313,  2738),
(2024, 5314,  1709),
(2024, 5315,  4536),
(2024, 5316,  16555),
(2024, 5317,  1580),
(2024, 5318,  16931),
(2024, 5319,  18060),
(2024, 5320,  5806),
(2024, 5321,  8144),
(2024, 5322,  24902),
(2024, 5323,  14563),
(2024, 5324,  3298),
(2024, 5325,  7436),
(2024, 5326,  14581),
(2024, 5327,  1266),
(2024, 5328,  870),
(2024, 5329,  670),
(2024, 5330,  1583),
(2024, 5331,  1237),
(2024, 5332,  6333),
(2024, 5333,  1151),
(2024, 5334,  21522),
(2024, 5335,  360),
(2024, 5336,  650),
(2024, 5337,  5245),
(2024, 5338,  24641),
(2024, 5339,  24641),
(2024, 5340,  12165),
(2024, 5341,  1965),
(2024, 5342,  22328),
(2024, 5343,  2827),
(2024, 5344,  14234),
(2024, 5345,  1237),
(2024, 5346,  175),
(2024, 5347,  25200),
(2024, 5348,  18152),
(2024, 5349,  1964),
(2024, 5350,  22124),
(2024, 5351,  1975),
(2024, 5352,  2924),
(2024, 5353,  332),
(2024, 5354,  6380),
(2024, 5355,  18852),
(2024, 5356,  2637),
(2024, 5357,  25129),
(2024, 5358,  3093),
(2024, 5359,  2302),
(2024, 5360,  3554),
(2024, 5361,  15299),
(2024, 5362,  1320),
(2024, 5363,  20601),
(2024, 5364,  26828),
(2024, 5365,  740),
(2024, 5366,  27435),
(2024, 5367,  3029),
(2024, 5368,  3344),
(2024, 5369,  12165),
(2024, 5370,  19866),
(2024, 5371,  445),
(2024, 5372,  16410),
(2024, 5373,  22923),
(2024, 5374,  3062),
(2024, 5375,  6827),
(2024, 5376,  3280),
(2024, 5377,  2170),
(2024, 5378,  16096),
(2024, 5379,  17086),
(2024, 5380,  17636),
(2024, 5381,  175),
(2024, 5382,  25069),
(2024, 5383,  24902),
(2024, 5384,  1869),
(2024, 5385,  8624),
(2024, 5386,  3062),
(2024, 5387,  8312),
(2024, 5388,  16867),
(2024, 5389,  332),
(2024, 5390,  197),
(2024, 5391,  1517),
(2024, 5392,  20239),
(2024, 5393,  2794),
(2024, 5394,  14581),
(2024, 5395,  3453),
(2024, 5396,  25200),
(2024, 5397,  6644),
(2024, 5398,  2398),
(2024, 5399,  17529),
(2024, 5400,  484),
(2024, 5401,  1372),
(2024, 5402,  26024),
(2024, 5403,  1580),
(2024, 5404,  2977),
(2024, 5405,  27707),
(2024, 5406,  12075),
(2024, 5407,  1947),
(2024, 5408,  25132),
(2024, 5409,  833),
(2024, 5410,  23333),
(2024, 5411,  11801),
(2024, 5412,  924),
(2024, 5413,  2921),
(2024, 5414,  14516),
(2024, 5415,  1141),
(2024, 5416,  16555),
(2024, 5417,  779),
(2024, 5418,  25762),
(2024, 5419,  6827),
(2024, 5420,  21087),
(2024, 5421,  27109),
(2024, 5422,  8781),
(2024, 5423,  25770),
(2024, 5424,  19656),
(2024, 5425,  2108),
(2024, 5426,  27269),
(2024, 5427,  1063),
(2024, 5428,  395),
(2024, 5429,  553),
(2024, 5430,  464),
(2024, 5431,  14836),
(2024, 5432,  8585),
(2024, 5433,  18060),
(2024, 5434,  923),
(2024, 5435,  18135),
(2024, 5436,  346),
(2024, 5437,  24902),
(2024, 5438,  27409),
(2024, 5439,  660),
(2024, 5440,  445),
(2024, 5441,  3436),
(2024, 5442,  19994),
(2024, 5443,  1927),
(2024, 5444,  3231),
(2024, 5445,  317),
(2024, 5446,  641),
(2024, 5447,  362),
(2024, 5448,  19204),
(2024, 5449,  1151),
(2024, 5450,  696),
(2024, 5451,  1189),
(2024, 5452,  1548),
(2024, 5453,  9619),
(2024, 5454,  2806),
(2024, 5455,  26344),
(2024, 5456,  12522),
(2024, 5457,  2382),
(2024, 5458,  8090),
(2024, 5459,  1626),
(2024, 5460,  25081),
(2024, 5461,  9282),
(2024, 5462,  740),
(2024, 5463,  26287),
(2024, 5464,  3197),
(2024, 5465,  27109),
(2024, 5466,  7),
(2024, 5467,  5530),
(2024, 5468,  1654),
(2024, 5469,  22923),
(2024, 5470,  670),
(2024, 5471,  17529),
(2024, 5472,  2829),
(2024, 5473,  21890),
(2024, 5474,  22458),
(2024, 5475,  16926),
(2024, 5476,  1318),
(2024, 5477,  1719),
(2024, 5478,  64),
(2024, 5479,  360),
(2024, 5480,  26828),
(2024, 5481,  2664),
(2024, 5482,  8091),
(2024, 5483,  6066),
(2024, 5484,  2382),
(2024, 5485,  553),
(2024, 5486,  11704),
(2024, 5487,  5745),
(2024, 5488,  12945),
(2024, 5489,  26828),
(2024, 5490,  26925),
(2024, 5491,  10808),
(2024, 5492,  9423),
(2024, 5493,  9186),
(2024, 5494,  968),
(2024, 5495,  10923),
(2024, 5496,  6937),
(2024, 5497,  8716),
(2024, 5498,  6515),
(2024, 5499,  360),
(2024, 5500,  12854),
(2024, 5501,  28324),
(2024, 5502,  19866),
(2024, 5503,  2076),
(2024, 5504,  9931),
(2024, 5505,  596),
(2024, 5506,  17477),
(2024, 5507,  6066),
(2024, 5508,  2924),
(2024, 5509,  1603),
(2024, 5510,  207),
(2024, 5511,  14581),
(2024, 5512,  2637),
(2024, 5513,  2633),
(2024, 5514,  650),
(2024, 5515,  3344),
(2024, 5516,  22342),
(2024, 5517,  3389),
(2024, 5518,  19540),
(2024, 5519,  2212),
(2024, 5520,  3112),
(2024, 5521,  4949),
(2024, 5522,  360),
(2024, 5523,  25941),
(2024, 5524,  1654),
(2024, 5525,  8781),
(2024, 5526,  22050),
(2024, 5527,  2103),
(2024, 5528,  2103),
(2024, 5529,  27117),
(2024, 5530,  6066),
(2024, 5531,  4175),
(2024, 5532,  3323),
(2024, 5533,  676),
(2024, 5534,  20239),
(2024, 5535,  874),
(2024, 5536,  17477),
(2024, 5537,  2260),
(2024, 5538,  19943),
(2024, 5539,  9174),
(2024, 5540,  2806),
(2024, 5541,  1266),
(2024, 5542,  20429),
(2024, 5543,  3231),
(2024, 5544,  1626),
(2024, 5545,  346),
(2024, 5546,  11870),
(2024, 5547,  17797),
(2024, 5548,  28062),
(2024, 5549,  17529),
(2024, 5550,  2749),
(2024, 5551,  26492),
(2024, 5552,  3436),
(2024, 5553,  2267),
(2024, 5554,  3158),
(2024, 5555,  21099),
(2024, 5556,  2767),
(2024, 5557,  16441),
(2024, 5558,  1932),
(2024, 5559,  25806),
(2024, 5560,  16756),
(2024, 5561,  15166),
(2024, 5562,  987),
(2024, 5563,  772),
(2024, 5564,  9682),
(2024, 5565,  3321),
(2024, 5566,  1750),
(2024, 5567,  19839),
(2024, 5568,  155),
(2024, 5569,  27929),
(2024, 5570,  16931),
(2024, 5571,  361),
(2024, 5572,  16931),
(2024, 5573,  2749),
(2024, 5574,  21170),
(2024, 5575,  924),
(2024, 5576,  25817),
(2024, 5577,  924),
(2024, 5578,  22966),
(2024, 5579,  1715),
(2024, 5580,  17644),
(2024, 5581,  1840),
(2024, 5582,  300),
(2024, 5583,  13294),
(2024, 5584,  148),
(2024, 5585,  1247),
(2024, 5586,  1833),
(2024, 5587,  3293),
(2024, 5588,  688),
(2024, 5589,  2314),
(2024, 5590,  639),
(2024, 5591,  25770),
(2024, 5592,  2887),
(2024, 5593,  12854),
(2024, 5594,  25142),
(2024, 5595,  3261),
(2024, 5596,  16109),
(2024, 5597,  1719),
(2024, 5598,  8906),
(2024, 5599,  8543),
(2024, 5600,  10923),
(2024, 5601,  2363),
(2024, 5602,  22050),
(2024, 5603,  25621),
(2024, 5604,  2260),
(2024, 5605,  1975),
(2024, 5606,  1327),
(2024, 5607,  1197),
(2024, 5608,  13664),
(2024, 5609,  8781),
(2024, 5610,  27929),
(2024, 5611,  27269),
(2024, 5612,  19994),
(2024, 5613,  3222),
(2024, 5614,  16867),
(2024, 5615,  15483),
(2024, 5616,  577),
(2024, 5617,  12941),
(2024, 5618,  27951),
(2024, 5619,  1730),
(2024, 5620,  3191),
(2024, 5621,  1859),
(2024, 5622,  2260),
(2024, 5623,  5530),
(2024, 5624,  2070),
(2024, 5625,  1063),
(2024, 5626,  395),
(2024, 5627,  28085),
(2024, 5628,  839),
(2024, 5629,  1859),
(2024, 5630,  3436),
(2024, 5631,  22923),
(2024, 5632,  64),
(2024, 5633,  3855),
(2024, 5634,  2900),
(2024, 5635,  25770),
(2024, 5636,  1106),
(2024, 5637,  23333),
(2024, 5638,  12075),
(2024, 5639,  765),
(2024, 5640,  15921),
(2024, 5641,  20885),
(2024, 5642,  2302),
(2024, 5643,  2232),
(2024, 5644,  553),
(2024, 5645,  19656),
(2024, 5646,  14969),
(2024, 5647,  1674),
(2024, 5648,  27892),
(2024, 5649,  2575),
(2024, 5650,  11895),
(2024, 5651,  22836),
(2024, 5652,  14090),
(2024, 5653,  5806),
(2024, 5654,  2968),
(2024, 5655,  27951),
(2024, 5656,  1681),
(2024, 5657,  556),
(2024, 5658,  21782),
(2024, 5659,  9186),
(2024, 5660,  21614),
(2024, 5661,  19204),
(2024, 5662,  1927),
(2024, 5663,  10278),
(2024, 5664,  7),
(2024, 5665,  1026),
(2024, 5666,  2705),
(2024, 5667,  3093),
(2024, 5668,  8185),
(2024, 5669,  2586),
(2024, 5670,  964),
(2024, 5671,  1715),
(2024, 5672,  28085),
(2024, 5673,  24109),
(2024, 5674,  1759),
(2024, 5675,  16410),
(2024, 5676,  6724),
(2024, 5677,  1633),
(2024, 5678,  12075),
(2024, 5679,  20429),
(2024, 5680,  874),
(2024, 5681,  3149),
(2024, 5682,  7472),
(2024, 5683,  18047),
(2024, 5684,  16959),
(2024, 5685,  2404),
(2024, 5686,  3330),
(2024, 5687,  10422),
(2024, 5688,  3197),
(2024, 5689,  26024),
(2024, 5690,  639),
(2024, 5691,  28324),
(2024, 5692,  2673),
(2024, 5693,  8535),
(2024, 5694,  490),
(2024, 5695,  395),
(2024, 5696,  7779),
(2024, 5697,  19189),
(2024, 5698,  19142),
(2024, 5699,  471),
(2024, 5700,  3231),
(2024, 5701,  1681),
(2024, 5702,  2212),
(2024, 5703,  987),
(2024, 5704,  11305),
(2024, 5705,  362),
(2024, 5706,  1840),
(2024, 5707,  1709),
(2024, 5708,  17517),
(2024, 5709,  11873),
(2024, 5710,  26530),
(2024, 5711,  21205),
(2024, 5712,  853),
(2024, 5713,  417),
(2024, 5714,  207),
(2024, 5715,  3197),
(2024, 5716,  27894),
(2024, 5717,  2705),
(2024, 5718,  15299),
(2024, 5719,  2284),
(2024, 5720,  27951),
(2024, 5721,  15539),
(2024, 5722,  16410),
(2024, 5723,  1975),
(2024, 5724,  2404),
(2024, 5725,  3554),
(2024, 5726,  1548),
(2024, 5727,  2382),
(2024, 5728,  11305),
(2024, 5729,  17601),
(2024, 5730,  2034),
(2024, 5731,  2738),
(2024, 5732,  6613),
(2024, 5733,  839),
(2024, 5734,  13664),
(2024, 5735,  1959),
(2024, 5736,  1517),
(2024, 5737,  21205),
(2024, 5738,  670),
(2024, 5739,  3323),
(2024, 5740,  1840),
(2024, 5741,  24527),
(2024, 5742,  17123),
(2024, 5743,  12749),
(2024, 5744,  2980),
(2024, 5745,  3062),
(2024, 5746,  2382),
(2024, 5747,  2760),
(2024, 5748,  12541),
(2024, 5749,  17477),
(2024, 5750,  20239),
(2024, 5751,  25142),
(2024, 5752,  3222),
(2024, 5753,  22458),
(2024, 5754,  10122),
(2024, 5755,  2382),
(2024, 5756,  1715),
(2024, 5757,  21522),
(2024, 5758,  26024),
(2024, 5759,  968),
(2024, 5760,  207),
(2024, 5761,  453),
(2024, 5762,  2212),
(2024, 5763,  22050),
(2024, 5764,  1859),
(2024, 5765,  2827),
(2024, 5766,  12075),
(2024, 5767,  23432),
(2024, 5768,  3298),
(2024, 5769,  148),
(2024, 5770,  28324),
(2024, 5771,  19241),
(2024, 5772,  1681),
(2024, 5773,  2314),
(2024, 5774,  27707),
(2024, 5775,  12075),
(2024, 5776,  1869),
(2024, 5777,  16235),
(2024, 5778,  19204),
(2024, 5779,  6380),
(2024, 5780,  17636),
(2024, 5781,  1750),
(2024, 5782,  175),
(2024, 5783,  11895),
(2024, 5784,  317),
(2024, 5785,  276),
(2024, 5786,  19204),
(2024, 5787,  1318),
(2024, 5788,  18060),
(2024, 5789,  1106),
(2024, 5790,  22034),
(2024, 5791,  18135),
(2024, 5792,  395),
(2024, 5793,  855),
(2024, 5794,  2232),
(2024, 5795,  11192),
(2024, 5796,  11305),
(2024, 5797,  26287),
(2024, 5798,  1189),
(2024, 5799,  22328),
(2024, 5800,  22436),
(2024, 5801,  1563),
(2024, 5802,  779),
(2024, 5803,  3197),
(2024, 5804,  8060),
(2024, 5805,  3112),
(2024, 5806,  1767),
(2024, 5807,  1017),
(2024, 5808,  53),
(2024, 5809,  3222),
(2024, 5810,  484),
(2024, 5811,  2671),
(2024, 5812,  16096),
(2024, 5813,  2382),
(2024, 5814,  24641),
(2024, 5815,  27339),
(2024, 5816,  1759),
(2024, 5817,  362),
(2024, 5818,  2705),
(2024, 5819,  27626),
(2024, 5820,  24109),
(2024, 5821,  853),
(2024, 5822,  2363),
(2024, 5823,  1197),
(2024, 5824,  3229),
(2024, 5825,  2407),
(2024, 5826,  17962),
(2024, 5827,  19656),
(2024, 5828,  1965),
(2024, 5829,  22124),
(2024, 5830,  7994),
(2024, 5831,  28324),
(2024, 5832,  772),
(2024, 5833,  2404),
(2024, 5834,  4253),
(2024, 5835,  2881),
(2024, 5836,  1750),
(2024, 5837,  24366),
(2024, 5838,  22396),
(2024, 5839,  1327),
(2024, 5840,  2314),
(2024, 5841,  7835),
(2024, 5842,  492),
(2024, 5843,  19994),
(2024, 5844,  402),
(2024, 5845,  2398),
(2024, 5846,  2363),
(2024, 5847,  24050),
(2024, 5848,  2070),
(2024, 5849,  17419),
(2024, 5850,  2769),
(2024, 5851,  5209),
(2024, 5852,  9805),
(2024, 5853,  1720),
(2024, 5854,  584),
(2024, 5855,  24675),
(2024, 5856,  1603),
(2024, 5857,  3570),
(2024, 5858,  8285),
(2024, 5859,  23896),
(2024, 5860,  64),
(2024, 5861,  1975),
(2024, 5862,  27109),
(2024, 5863,  2887),
(2024, 5864,  19204),
(2024, 5865,  2399),
(2024, 5866,  892),
(2024, 5867,  194),
(2024, 5868,  2023),
(2024, 5869,  7552),
(2024, 5870,  8337),
(2024, 5871,  21522),
(2024, 5872,  2212),
(2024, 5873,  2881),
(2024, 5874,  8906),
(2024, 5875,  8669),
(2024, 5876,  1222),
(2024, 5877,  26999),
(2024, 5878,  1767),
(2024, 5879,  22342),
(2024, 5880,  16292),
(2024, 5881,  1222),
(2024, 5882,  395),
(2024, 5883,  20921),
(2024, 5884,  4536),
(2024, 5885,  2259),
(2024, 5886,  3570),
(2024, 5887,  26812),
(2024, 5888,  2671),
(2024, 5889,  5392),
(2024, 5890,  1868),
(2024, 5891,  1703),
(2024, 5892,  22050),
(2024, 5893,  2971),
(2024, 5894,  7436),
(2024, 5895,  2398),
(2024, 5896,  82),
(2024, 5897,  27929),
(2024, 5898,  16045),
(2024, 5899,  23333),
(2024, 5900,  19001),
(2024, 5901,  6613),
(2024, 5902,  5646),
(2024, 5903,  19540),
(2024, 5904,  27929),
(2024, 5905,  1197),
(2024, 5906,  5745),
(2024, 5907,  1266),
(2024, 5908,  2760),
(2024, 5909,  8585),
(2024, 5910,  27409),
(2024, 5911,  207),
(2024, 5912,  1975),
(2024, 5913,  1026),
(2024, 5914,  2070),
(2024, 5915,  15539),
(2024, 5916,  18047),
(2024, 5917,  2673),
(2024, 5918,  13754),
(2024, 5919,  778),
(2024, 5920,  1197),
(2024, 5921,  453),
(2024, 5922,  576),
(2024, 5923,  19241),
(2024, 5924,  5646),
(2024, 5925,  870),
(2024, 5926,  3197),
(2024, 5927,  21522),
(2024, 5928,  1666),
(2024, 5929,  20602),
(2024, 5930,  19540),
(2024, 5931,  1874),
(2024, 5932,  27339),
(2024, 5933,  5209),
(2024, 5934,  8312),
(2024, 5935,  1229),
(2024, 5936,  18013),
(2024, 5937,  17517),
(2024, 5938,  12541),
(2024, 5939,  16441),
(2024, 5940,  596),
(2024, 5941,  27269),
(2024, 5942,  19204),
(2024, 5943,  2103),
(2024, 5944,  1964),
(2024, 5945,  1874),
(2024, 5946,  10244),
(2024, 5947,  346),
(2024, 5948,  8624),
(2024, 5949,  16096),
(2024, 5950,  9186),
(2024, 5951,  1720),
(2024, 5952,  2881),
(2024, 5953,  688),
(2024, 5954,  22015),
(2024, 5955,  2103),
(2024, 5956,  553),
(2024, 5957,  8585),
(2024, 5958,  2900),
(2024, 5959,  17517),
(2024, 5960,  3149),
(2024, 5961,  3389),
(2024, 5962,  25205),
(2024, 5963,  1840),
(2024, 5964,  10422),
(2024, 5965,  2887),
(2024, 5966,  28115),
(2024, 5967,  2827),
(2024, 5968,  1548),
(2024, 5969,  1583),
(2024, 5970,  1859),
(2024, 5971,  10122),
(2024, 5972,  493),
(2024, 5973,  194),
(2024, 5974,  960),
(2024, 5975,  2415),
(2024, 5976,  3191),
(2024, 5977,  5406),
(2024, 5978,  2267),
(2024, 5979,  1247),
(2024, 5980,  8285),
(2024, 5981,  2259),
(2024, 5982,  9411),
(2024, 5983,  7078),
(2024, 5984,  2076),
(2024, 5985,  28351),
(2024, 5986,  20429),
(2024, 5987,  24675),
(2024, 5988,  6827),
(2024, 5989,  21522),
(2024, 5990,  1626),
(2024, 5991,  24109),
(2024, 5992,  7472),
(2024, 5993,  3389),
(2024, 5994,  2705),
(2024, 5995,  1350),
(2024, 5996,  18047),
(2024, 5997,  2463),
(2024, 5998,  2794),
(2024, 5999,  25806),
(2024, 6000,  82),
(2024, 6001,  18047),
(2024, 6002,  21491),
(2024, 6003,  297),
(2024, 6004,  24527),
(2024, 6005,  1947),
(2024, 6006,  2829),
(2024, 6007,  4793),
(2024, 6008,  12922),
(2024, 6009,  3241),
(2024, 6010,  16609),
(2024, 6011,  2767),
(2024, 6012,  1563),
(2024, 6013,  24675),
(2024, 6014,  1243),
(2024, 6015,  24527),
(2024, 6016,  4435),
(2024, 6017,  7197),
(2024, 6018,  11870),
(2024, 6019,  24366),
(2024, 6020,  4334),
(2024, 6021,  10923),
(2024, 6022,  1247),
(2024, 6023,  3002),
(2024, 6024,  1318),
(2024, 6025,  678),
(2024, 6026,  5406),
(2024, 6027,  650),
(2024, 6028,  5272),
(2024, 6029,  21614),
(2024, 6030,  2806),
(2024, 6031,  13664),
(2024, 6032,  2217),
(2024, 6033,  25806),
(2024, 6034,  678),
(2024, 6035,  1026),
(2024, 6036,  676),
(2024, 6037,  7472),
(2024, 6038,  3029),
(2024, 6039,  1106),
(2024, 6040,  16931),
(2024, 6041,  27435),
(2024, 6042,  12075),
(2024, 6043,  26003),
(2024, 6044,  696),
(2024, 6045,  1605),
(2024, 6046,  1350),
(2024, 6047,  4175),
(2024, 6048,  2561),
(2024, 6049,  19853),
(2024, 6050,  11873),
(2024, 6051,  2091),
(2024, 6052,  2921),
(2024, 6053,  1247),
(2024, 6054,  4684),
(2024, 6055,  4536),
(2024, 6056,  1104),
(2024, 6057,  2561),
(2024, 6058,  276),
(2024, 6059,  6380),
(2024, 6060,  1925),
(2024, 6061,  2794),
(2024, 6062,  22436),
(2024, 6063,  10923),
(2024, 6064,  2363),
(2024, 6065,  1237),
(2024, 6066,  3389),
(2024, 6067,  2427),
(2024, 6068,  3436),
(2024, 6069,  276),
(2024, 6070,  3002),
(2024, 6071,  3029),
(2024, 6072,  906),
(2024, 6073,  2269),
(2024, 6074,  1959),
(2024, 6075,  22923),
(2024, 6076,  368),
(2024, 6077,  148),
(2024, 6078,  6724),
(2024, 6079,  27109),
(2024, 6080,  27892),
(2024, 6081,  1751),
